"Fund Name","Company Name","Ticker","Meeting Date","Proposal Number","Proposal Description","Management Recommendation","Vote Cast","Sponsor"
"Blackrock Global Smallcap Fund, Inc.","51job, Inc.","JOBS","12/06/2012","1","Reelect David K. Chao as Director","For","For","Management"
"Blackrock Global Smallcap Fund, Inc.","51job, Inc.","JOBS","12/06/2012","2","Reelect James Jianzhang Liang as Director","For","For","Management"
"Blackrock Global Smallcap Fund, Inc.","51job, Inc.","JOBS","12/06/2012","3","Elect Kazumasa Watanabe as Director","For","For","Management"
"Blackrock Global Smallcap Fund, Inc.","51job, Inc.","JOBS","12/06/2012","4","Reelect Rick Yan as Director","For","For","Management"
"Blackrock Global Smallcap Fund, Inc.","Abercrombie & Fitch Co.","ANF","06/20/2013","1a","Elect Director James B. Bachmann","For","For","Management"
"Blackrock Global Smallcap Fund, Inc.","Abercrombie & Fitch Co.","ANF","06/20/2013","1b","Elect Director Michael E. Greenlees","For","For","Management"
"Blackrock Global Smallcap Fund, Inc.","Abercrombie & Fitch Co.","ANF","06/20/2013","1c","Elect Director Kevin S. Huvane","For","For","Management"
"Blackrock Global Smallcap Fund, Inc.","Abercrombie & Fitch Co.","ANF","06/20/2013","1d","Elect Director Michael S. Jeffries","For","For","Management"
"Blackrock Global Smallcap Fund, Inc.","Abercrombie & Fitch Co.","ANF","06/20/2013","1e","Elect Director John W. Kessler","For","For","Management"
"Blackrock Global Smallcap Fund, Inc.","Abercrombie & Fitch Co.","ANF","06/20/2013","1f","Elect Director Craig R. Stapleton","For","For","Management"
"Blackrock Global Smallcap Fund, Inc.","Abercrombie & Fitch Co.","ANF","06/20/2013","2","Advisory Vote to Ratify Named Executive Officers' Compensation","For","For","Management"
"Blackrock Global Smallcap Fund, Inc.","Abercrombie & Fitch Co.","ANF","06/20/2013","3","Ratify Auditors","For","For","Management"
"Blackrock Global Smallcap Fund, Inc.","Abercrombie & Fitch Co.","ANF","06/20/2013","4","Pro-rata Vesting of Equity Plans","Against","Against","Shareholder"
"Blackrock Global Smallcap Fund, Inc.","Abercrombie & Fitch Co.","ANF","06/20/2013","5","Require Shareholder Approval of Specific Performance Metrics in Equity Compensation Plans","Against","Against","Shareholder"
"Blackrock Global Smallcap Fund, Inc.","Aberdeen Asset Management PLC","ADN","01/17/2013","1","Accept Financial Statements and Statutory Reports","For","For","Management"
"Blackrock Global Smallcap Fund, Inc.","Aberdeen Asset Management PLC","ADN","01/17/2013","2","Approve Final Dividend","For","For","Management"
"Blackrock Global Smallcap Fund, Inc.","Aberdeen Asset Management PLC","ADN","01/17/2013","3","Reappoint KPMG Audit plc as Auditors and Authorise Their Remuneration","For","For","Management"
"Blackrock Global Smallcap Fund, Inc.","Aberdeen Asset Management PLC","ADN","01/17/2013","4","Re-elect Julie Chakraverty as Director","For","For","Management"
"Blackrock Global Smallcap Fund, Inc.","Aberdeen Asset Management PLC","ADN","01/17/2013","5","Re-elect Roger Cornick as Director","For","For","Management"
"Blackrock Global Smallcap Fund, Inc.","Aberdeen Asset Management PLC","ADN","01/17/2013","6","Re-elect Anita Frew as Director","For","For","Management"
"Blackrock Global Smallcap Fund, Inc.","Aberdeen Asset Management PLC","ADN","01/17/2013","7","Re-elect Martin Gilbert as Director","For","For","Management"
"Blackrock Global Smallcap Fund, Inc.","Aberdeen Asset Management PLC","ADN","01/17/2013","8","Re-elect Andrew Laing as Director","For","For","Management"
"Blackrock Global Smallcap Fund, Inc.","Aberdeen Asset Management PLC","ADN","01/17/2013","9","Re-elect Kenichi Miyanaga as Director","For","For","Management"
"Blackrock Global Smallcap Fund, Inc.","Aberdeen Asset Management PLC","ADN","01/17/2013","10","Re-elect Jim Pettigrew as Director","For","For","Management"
"Blackrock Global Smallcap Fund, Inc.","Aberdeen Asset Management PLC","ADN","01/17/2013","11","Re-elect Bill Rattray as Director","For","For","Management"
"Blackrock Global Smallcap Fund, Inc.","Aberdeen Asset Management PLC","ADN","01/17/2013","12","Re-elect Anne Richards as Director","For","For","Management"
"Blackrock Global Smallcap Fund, Inc.","Aberdeen Asset Management PLC","ADN","01/17/2013","13","Re-elect Simon Troughton as Director","For","For","Management"
"Blackrock Global Smallcap Fund, Inc.","Aberdeen Asset Management PLC","ADN","01/17/2013","14","Re-elect Hugh Young as Director","For","For","Management"
"Blackrock Global Smallcap Fund, Inc.","Aberdeen Asset Management PLC","ADN","01/17/2013","15","Elect Richard Mully as Director","For","For","Management"
"Blackrock Global Smallcap Fund, Inc.","Aberdeen Asset Management PLC","ADN","01/17/2013","16","Elect Rod MacRae as Director","For","For","Management"
"Blackrock Global Smallcap Fund, Inc.","Aberdeen Asset Management PLC","ADN","01/17/2013","17","Approve Remuneration Report","For","For","Management"
"Blackrock Global Smallcap Fund, Inc.","Aberdeen Asset Management PLC","ADN","01/17/2013","18","Authorise Issue of Equity with Pre-emptive Rights","For","For","Management"
"Blackrock Global Smallcap Fund, Inc.","Aberdeen Asset Management PLC","ADN","01/17/2013","19","Authorise Issue of Equity without Pre-emptive Rights","For","For","Management"
"Blackrock Global Smallcap Fund, Inc.","Aberdeen Asset Management PLC","ADN","01/17/2013","20","Authorise the Company to Call EGM with Two Weeks' Notice","For","For","Management"
"Blackrock Global Smallcap Fund, Inc.","Aberdeen Asset Management PLC","ADN","01/17/2013","21","Authorise Market Purchase of Ordinary Shares","For","For","Management"
"Blackrock Global Smallcap Fund, Inc.","Aberdeen Asset Management PLC","ADN","01/17/2013","22","Authorise EU Political Donations and Expenditure","For","For","Management"
"Blackrock Global Smallcap Fund, Inc.","Aberdeen Asset Management PLC","ADN","01/17/2013","23","Approve Increase in Aggregate Fees Payable to Directors","For","For","Management"
"Blackrock Global Smallcap Fund, Inc.","Acxiom Corporation","ACXM","08/16/2012","1","Elect Director John L. Battelle","For","For","Management"
"Blackrock Global Smallcap Fund, Inc.","Acxiom Corporation","ACXM","08/16/2012","2","Elect Director Ann Die Hasselmo","For","For","Management"
"Blackrock Global Smallcap Fund, Inc.","Acxiom Corporation","ACXM","08/16/2012","3","Elect Director William J. Henderson","For","For","Management"
"Blackrock Global Smallcap Fund, Inc.","Acxiom Corporation","ACXM","08/16/2012","4","Advisory Vote to Ratify Named Executive Officers' Compensation","For","For","Management"
