proposal_number,proposal,sponsor,rec,vote_cast,company_name,meeting_date,ticker,cusip,proxy_contest,fund_name,filer__company_data__company_conformed_name,filer__company_data__central_index_key,filer__company_data__irs_number,filer__company_data__state_of_incorporation,filer__company_data__fiscal_year_end,filer__filing_values__form_type,filer__filing_values__sec_act,filer__filing_values__sec_file_number,filer__filing_values__film_number,filer__business_address__street_1,filer__business_address__city,filer__business_address__state,filer__business_address__zip,filer__business_address__business_phone,filer__mail_address__street_1,filer__mail_address__city,filer__mail_address__state,filer__mail_address__zip,filer__former_company__former_conformed_name,filer__former_company__date_of_name_change,accession__accession_number,accession__conformed_period_of_report,accession__filed_as_of_date,accession__date_as_of_change,accession__effectiveness_date,metadata_fund_name,fund_name_match_score,owner_cik,series_id,series_name,class_contract_id,class_contract_name,class_contract_ticker_symbol
1.1,Elect Director Serge Saxonov,Management,For,For,"10X GENOMICS, INC.","JUN 15, 2020",XG,88025U109,False,FIDELITY TREND FUND,FIDELITY TREND FUND,0000035402,046026956,MA,1231,N-PX,1940 Act,811-00790,201139114,245 SUMMER STREET,BOSTON,MA,02210,617-563-7000,245 SUMMER STREET,BOSTON,MA,02210,FIDELITY TREND FUND INC,19850503,0001379491-20-003922,20200630,20200827,20200827,20200827,Fidelity Trend Fund,100,0000035402,S000007496,Fidelity Trend Fund,C000020470,Fidelity Trend Fund,FTRNX
1.2,Elect Director Benjamin J. Hindson,Management,For,For,"10X GENOMICS, INC.","JUN 15, 2020",XG,88025U109,False,FIDELITY TREND FUND,FIDELITY TREND FUND,0000035402,046026956,MA,1231,N-PX,1940 Act,811-00790,201139114,245 SUMMER STREET,BOSTON,MA,02210,617-563-7000,245 SUMMER STREET,BOSTON,MA,02210,FIDELITY TREND FUND INC,19850503,0001379491-20-003922,20200630,20200827,20200827,20200827,Fidelity Trend Fund,100,0000035402,S000007496,Fidelity Trend Fund,C000020470,Fidelity Trend Fund,FTRNX
1.3,Elect Director John R. Stuelpnagel,Management,For,For,"10X GENOMICS, INC.","JUN 15, 2020",XG,88025U109,False,FIDELITY TREND FUND,FIDELITY TREND FUND,0000035402,046026956,MA,1231,N-PX,1940 Act,811-00790,201139114,245 SUMMER STREET,BOSTON,MA,02210,617-563-7000,245 SUMMER STREET,BOSTON,MA,02210,FIDELITY TREND FUND INC,19850503,0001379491-20-003922,20200630,20200827,20200827,20200827,Fidelity Trend Fund,100,0000035402,S000007496,Fidelity Trend Fund,C000020470,Fidelity Trend Fund,FTRNX
2,Ratify Ernst & Young LLP as Auditors,Management,For,For,"10X GENOMICS, INC.","JUN 15, 2020",XG,88025U109,False,FIDELITY TREND FUND,FIDELITY TREND FUND,0000035402,046026956,MA,1231,N-PX,1940 Act,811-00790,201139114,245 SUMMER STREET,BOSTON,MA,02210,617-563-7000,245 SUMMER STREET,BOSTON,MA,02210,FIDELITY TREND FUND INC,19850503,0001379491-20-003922,20200630,20200827,20200827,20200827,Fidelity Trend Fund,100,0000035402,S000007496,Fidelity Trend Fund,C000020470,Fidelity Trend Fund,FTRNX
1,Elect Director Jaime Ardila,Management,For,For,ACCENTURE PLC,"JAN 30, 2020",ACN,G1151C101,False,FIDELITY TREND FUND,FIDELITY TREND FUND,0000035402,046026956,MA,1231,N-PX,1940 Act,811-00790,201139114,245 SUMMER STREET,BOSTON,MA,02210,617-563-7000,245 SUMMER STREET,BOSTON,MA,02210,FIDELITY TREND FUND INC,19850503,0001379491-20-003922,20200630,20200827,20200827,20200827,Fidelity Trend Fund,100,0000035402,S000007496,Fidelity Trend Fund,C000020470,Fidelity Trend Fund,FTRNX
1b,Elect Director Herbert Hainer,Management,For,For,ACCENTURE PLC,"JAN 30, 2020",ACN,G1151C101,False,FIDELITY TREND FUND,FIDELITY TREND FUND,0000035402,046026956,MA,1231,N-PX,1940 Act,811-00790,201139114,245 SUMMER STREET,BOSTON,MA,02210,617-563-7000,245 SUMMER STREET,BOSTON,MA,02210,FIDELITY TREND FUND INC,19850503,0001379491-20-003922,20200630,20200827,20200827,20200827,Fidelity Trend Fund,100,0000035402,S000007496,Fidelity Trend Fund,C000020470,Fidelity Trend Fund,FTRNX
1c,Elect Director Nancy McKinstry,Management,For,For,ACCENTURE PLC,"JAN 30, 2020",ACN,G1151C101,False,FIDELITY TREND FUND,FIDELITY TREND FUND,0000035402,046026956,MA,1231,N-PX,1940 Act,811-00790,201139114,245 SUMMER STREET,BOSTON,MA,02210,617-563-7000,245 SUMMER STREET,BOSTON,MA,02210,FIDELITY TREND FUND INC,19850503,0001379491-20-003922,20200630,20200827,20200827,20200827,Fidelity Trend Fund,100,0000035402,S000007496,Fidelity Trend Fund,C000020470,Fidelity Trend Fund,FTRNX
1d,Elect Director Gilles C. Pelisson,Management,For,For,ACCENTURE PLC,"JAN 30, 2020",ACN,G1151C101,False,FIDELITY TREND FUND,FIDELITY TREND FUND,0000035402,046026956,MA,1231,N-PX,1940 Act,811-00790,201139114,245 SUMMER STREET,BOSTON,MA,02210,617-563-7000,245 SUMMER STREET,BOSTON,MA,02210,FIDELITY TREND FUND INC,19850503,0001379491-20-003922,20200630,20200827,20200827,20200827,Fidelity Trend Fund,100,0000035402,S000007496,Fidelity Trend Fund,C000020470,Fidelity Trend Fund,FTRNX
1e,Elect Director Paula A. Price,Management,For,For,ACCENTURE PLC,"JAN 30, 2020",ACN,G1151C101,False,FIDELITY TREND FUND,FIDELITY TREND FUND,0000035402,046026956,MA,1231,N-PX,1940 Act,811-00790,201139114,245 SUMMER STREET,BOSTON,MA,02210,617-563-7000,245 SUMMER STREET,BOSTON,MA,02210,FIDELITY TREND FUND INC,19850503,0001379491-20-003922,20200630,20200827,20200827,20200827,Fidelity Trend Fund,100,0000035402,S000007496,Fidelity Trend Fund,C000020470,Fidelity Trend Fund,FTRNX
1f,Elect Director Venkata (Murthy) Renduchintala,Management,For,For,ACCENTURE PLC,"JAN 30, 2020",ACN,G1151C101,False,FIDELITY TREND FUND,FIDELITY TREND FUND,0000035402,046026956,MA,1231,N-PX,1940 Act,811-00790,201139114,245 SUMMER STREET,BOSTON,MA,02210,617-563-7000,245 SUMMER STREET,BOSTON,MA,02210,FIDELITY TREND FUND INC,19850503,0001379491-20-003922,20200630,20200827,20200827,20200827,Fidelity Trend Fund,100,0000035402,S000007496,Fidelity Trend Fund,C000020470,Fidelity Trend Fund,FTRNX
1g,Elect Director David Rowland,Management,For,For,ACCENTURE PLC,"JAN 30, 2020",ACN,G1151C101,False,FIDELITY TREND FUND,FIDELITY TREND FUND,0000035402,046026956,MA,1231,N-PX,1940 Act,811-00790,201139114,245 SUMMER STREET,BOSTON,MA,02210,617-563-7000,245 SUMMER STREET,BOSTON,MA,02210,FIDELITY TREND FUND INC,19850503,0001379491-20-003922,20200630,20200827,20200827,20200827,Fidelity Trend Fund,100,0000035402,S000007496,Fidelity Trend Fund,C000020470,Fidelity Trend Fund,FTRNX
1h,Elect Director Arun Sarin,Management,For,For,ACCENTURE PLC,"JAN 30, 2020",ACN,G1151C101,False,FIDELITY TREND FUND,FIDELITY TREND FUND,0000035402,046026956,MA,1231,N-PX,1940 Act,811-00790,201139114,245 SUMMER STREET,BOSTON,MA,02210,617-563-7000,245 SUMMER STREET,BOSTON,MA,02210,FIDELITY TREND FUND INC,19850503,0001379491-20-003922,20200630,20200827,20200827,20200827,Fidelity Trend Fund,100,0000035402,S000007496,Fidelity Trend Fund,C000020470,Fidelity Trend Fund,FTRNX
1i,Elect Director Julie Sweet,Management,For,For,ACCENTURE PLC,"JAN 30, 2020",ACN,G1151C101,False,FIDELITY TREND FUND,FIDELITY TREND FUND,0000035402,046026956,MA,1231,N-PX,1940 Act,811-00790,201139114,245 SUMMER STREET,BOSTON,MA,02210,617-563-7000,245 SUMMER STREET,BOSTON,MA,02210,FIDELITY TREND FUND INC,19850503,0001379491-20-003922,20200630,20200827,20200827,20200827,Fidelity Trend Fund,100,0000035402,S000007496,Fidelity Trend Fund,C000020470,Fidelity Trend Fund,FTRNX
1j,Elect Director Frank K. Tang,Management,For,For,ACCENTURE PLC,"JAN 30, 2020",ACN,G1151C101,False,FIDELITY TREND FUND,FIDELITY TREND FUND,0000035402,046026956,MA,1231,N-PX,1940 Act,811-00790,201139114,245 SUMMER STREET,BOSTON,MA,02210,617-563-7000,245 SUMMER STREET,BOSTON,MA,02210,FIDELITY TREND FUND INC,19850503,0001379491-20-003922,20200630,20200827,20200827,20200827,Fidelity Trend Fund,100,0000035402,S000007496,Fidelity Trend Fund,C000020470,Fidelity Trend Fund,FTRNX
1k,Elect Director Tracey T. Travis,Management,For,For,ACCENTURE PLC,"JAN 30, 2020",ACN,G1151C101,False,FIDELITY TREND FUND,FIDELITY TREND FUND,0000035402,046026956,MA,1231,N-PX,1940 Act,811-00790,201139114,245 SUMMER STREET,BOSTON,MA,02210,617-563-7000,245 SUMMER STREET,BOSTON,MA,02210,FIDELITY TREND FUND INC,19850503,0001379491-20-003922,20200630,20200827,20200827,20200827,Fidelity Trend Fund,100,0000035402,S000007496,Fidelity Trend Fund,C000020470,Fidelity Trend Fund,FTRNX
2,Advisory Vote to Ratify Named Executive Officers' Compensation,Management,For,For,ACCENTURE PLC,"JAN 30, 2020",ACN,G1151C101,False,FIDELITY TREND FUND,FIDELITY TREND FUND,0000035402,046026956,MA,1231,N-PX,1940 Act,811-00790,201139114,245 SUMMER STREET,BOSTON,MA,02210,617-563-7000,245 SUMMER STREET,BOSTON,MA,02210,FIDELITY TREND FUND INC,19850503,0001379491-20-003922,20200630,20200827,20200827,20200827,Fidelity Trend Fund,100,0000035402,S000007496,Fidelity Trend Fund,C000020470,Fidelity Trend Fund,FTRNX
3,Amend Omnibus Stock Plan,Management,For,For,ACCENTURE PLC,"JAN 30, 2020",ACN,G1151C101,False,FIDELITY TREND FUND,FIDELITY TREND FUND,0000035402,046026956,MA,1231,N-PX,1940 Act,811-00790,201139114,245 SUMMER STREET,BOSTON,MA,02210,617-563-7000,245 SUMMER STREET,BOSTON,MA,02210,FIDELITY TREND FUND INC,19850503,0001379491-20-003922,20200630,20200827,20200827,20200827,Fidelity Trend Fund,100,0000035402,S000007496,Fidelity Trend Fund,C000020470,Fidelity Trend Fund,FTRNX
4,Approve KPMG LLP as Auditors and Authorize Board to Fix Their Remuneration,Management,For,For,ACCENTURE PLC,"JAN 30, 2020",ACN,G1151C101,False,FIDELITY TREND FUND,FIDELITY TREND FUND,0000035402,046026956,MA,1231,N-PX,1940 Act,811-00790,201139114,245 SUMMER STREET,BOSTON,MA,02210,617-563-7000,245 SUMMER STREET,BOSTON,MA,02210,FIDELITY TREND FUND INC,19850503,0001379491-20-003922,20200630,20200827,20200827,20200827,Fidelity Trend Fund,100,0000035402,S000007496,Fidelity Trend Fund,C000020470,Fidelity Trend Fund,FTRNX
5,Authorize Board to Allot and Issue Shares,Management,For,For,ACCENTURE PLC,"JAN 30, 2020",ACN,G1151C101,False,FIDELITY TREND FUND,FIDELITY TREND FUND,0000035402,046026956,MA,1231,N-PX,1940 Act,811-00790,201139114,245 SUMMER STREET,BOSTON,MA,02210,617-563-7000,245 SUMMER STREET,BOSTON,MA,02210,FIDELITY TREND FUND INC,19850503,0001379491-20-003922,20200630,20200827,20200827,20200827,Fidelity Trend Fund,100,0000035402,S000007496,Fidelity Trend Fund,C000020470,Fidelity Trend Fund,FTRNX
6,Authorize Board to Opt-Out of Statutory Pre-Emption Rights,Management,For,For,ACCENTURE PLC,"JAN 30, 2020",ACN,G1151C101,False,FIDELITY TREND FUND,FIDELITY TREND FUND,0000035402,046026956,MA,1231,N-PX,1940 Act,811-00790,201139114,245 SUMMER STREET,BOSTON,MA,02210,617-563-7000,245 SUMMER STREET,BOSTON,MA,02210,FIDELITY TREND FUND INC,19850503,0001379491-20-003922,20200630,20200827,20200827,20200827,Fidelity Trend Fund,100,0000035402,S000007496,Fidelity Trend Fund,C000020470,Fidelity Trend Fund,FTRNX
7,Determine Price Range for Reissuance of Treasury Shares,Management,For,For,ACCENTURE PLC,"JAN 30, 2020",ACN,G1151C101,False,FIDELITY TREND FUND,FIDELITY TREND FUND,0000035402,046026956,MA,1231,N-PX,1940 Act,811-00790,201139114,245 SUMMER STREET,BOSTON,MA,02210,617-563-7000,245 SUMMER STREET,BOSTON,MA,02210,FIDELITY TREND FUND INC,19850503,0001379491-20-003922,20200630,20200827,20200827,20200827,Fidelity Trend Fund,100,0000035402,S000007496,Fidelity Trend Fund,C000020470,Fidelity Trend Fund,FTRNX
1a,Elect Director Amy L. Banse,Management,For,For,ADOBE INC.,"APR 09, 2020",ADBE,00724F101,False,FIDELITY TREND FUND,FIDELITY TREND FUND,0000035402,046026956,MA,1231,N-PX,1940 Act,811-00790,201139114,245 SUMMER STREET,BOSTON,MA,02210,617-563-7000,245 SUMMER STREET,BOSTON,MA,02210,FIDELITY TREND FUND INC,19850503,0001379491-20-003922,20200630,20200827,20200827,20200827,Fidelity Trend Fund,100,0000035402,S000007496,Fidelity Trend Fund,C000020470,Fidelity Trend Fund,FTRNX
1b,Elect Director Frank A. Calderoni,Management,For,For,ADOBE INC.,"APR 09, 2020",ADBE,00724F101,False,FIDELITY TREND FUND,FIDELITY TREND FUND,0000035402,046026956,MA,1231,N-PX,1940 Act,811-00790,201139114,245 SUMMER STREET,BOSTON,MA,02210,617-563-7000,245 SUMMER STREET,BOSTON,MA,02210,FIDELITY TREND FUND INC,19850503,0001379491-20-003922,20200630,20200827,20200827,20200827,Fidelity Trend Fund,100,0000035402,S000007496,Fidelity Trend Fund,C000020470,Fidelity Trend Fund,FTRNX
1c,Elect Director James E. Daley,Management,For,For,ADOBE INC.,"APR 09, 2020",ADBE,00724F101,False,FIDELITY TREND FUND,FIDELITY TREND FUND,0000035402,046026956,MA,1231,N-PX,1940 Act,811-00790,201139114,245 SUMMER STREET,BOSTON,MA,02210,617-563-7000,245 SUMMER STREET,BOSTON,MA,02210,FIDELITY TREND FUND INC,19850503,0001379491-20-003922,20200630,20200827,20200827,20200827,Fidelity Trend Fund,100,0000035402,S000007496,Fidelity Trend Fund,C000020470,Fidelity Trend Fund,FTRNX
1d,Elect Director Laura B. Desmond,Management,For,For,ADOBE INC.,"APR 09, 2020",ADBE,00724F101,False,FIDELITY TREND FUND,FIDELITY TREND FUND,0000035402,046026956,MA,1231,N-PX,1940 Act,811-00790,201139114,245 SUMMER STREET,BOSTON,MA,02210,617-563-7000,245 SUMMER STREET,BOSTON,MA,02210,FIDELITY TREND FUND INC,19850503,0001379491-20-003922,20200630,20200827,20200827,20200827,Fidelity Trend Fund,100,0000035402,S000007496,Fidelity Trend Fund,C000020470,Fidelity Trend Fund,FTRNX
