proposal_number,proposal,sponsor,rec,vote_cast,company_name,meeting_date,ticker,cusip,record_date,meeting_type,proxy_contest,proxy_card,recommendation_source,fund_name,filer__company_data__company_conformed_name,filer__company_data__central_index_key,filer__company_data__irs_number,filer__company_data__state_of_incorporation,filer__company_data__fiscal_year_end,filer__filing_values__form_type,filer__filing_values__sec_act,filer__filing_values__sec_file_number,filer__filing_values__film_number,filer__business_address__street_1,filer__business_address__street_2,filer__business_address__city,filer__business_address__state,filer__business_address__zip,filer__business_address__business_phone,filer__mail_address__street_1,filer__mail_address__street_2,filer__mail_address__city,filer__mail_address__state,filer__mail_address__zip,filer__former_company__former_conformed_name,filer__former_company__date_of_name_change,accession__accession_number,accession__conformed_period_of_report,accession__filed_as_of_date,accession__date_as_of_change,accession__effectiveness_date,metadata_fund_name,fund_name_match_score,owner_cik,series_id,series_name,class_contract_id,class_contract_name,class_contract_ticker_symbol
1a,Elect Director Reveta Bowers,Management,For,For,"ACTIVISION BLIZZARD, INC.","JUN 21, 2023",ATVI,00507V109,"APR 25, 2023",ANNUAL,False,,,AB Disruptors ETF,"AB Active ETFs, Inc.",0001496608,000000000,MD,0531,N-PX,1940 Act,811-23799,231224403,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,212-969-1000,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,"AllianceBernstein Active ETFs, Inc.",20100714,0000919574-23-005036,20230630,20230830,20230830,20230830,AB Ultra Short Income ETF,50,0001496608,S000076880,AB Ultra Short Income ETF,C000237019,AB Ultra Short Income ETF,YEAR
1b,Elect Director Kerry Carr,Management,For,For,"ACTIVISION BLIZZARD, INC.","JUN 21, 2023",ATVI,00507V109,"APR 25, 2023",ANNUAL,False,,,AB Disruptors ETF,"AB Active ETFs, Inc.",0001496608,000000000,MD,0531,N-PX,1940 Act,811-23799,231224403,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,212-969-1000,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,"AllianceBernstein Active ETFs, Inc.",20100714,0000919574-23-005036,20230630,20230830,20230830,20230830,AB Ultra Short Income ETF,50,0001496608,S000076880,AB Ultra Short Income ETF,C000237019,AB Ultra Short Income ETF,YEAR
1c,Elect Director Robert Corti,Management,For,For,"ACTIVISION BLIZZARD, INC.","JUN 21, 2023",ATVI,00507V109,"APR 25, 2023",ANNUAL,False,,,AB Disruptors ETF,"AB Active ETFs, Inc.",0001496608,000000000,MD,0531,N-PX,1940 Act,811-23799,231224403,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,212-969-1000,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,"AllianceBernstein Active ETFs, Inc.",20100714,0000919574-23-005036,20230630,20230830,20230830,20230830,AB Ultra Short Income ETF,50,0001496608,S000076880,AB Ultra Short Income ETF,C000237019,AB Ultra Short Income ETF,YEAR
1d,Elect Director Brian Kelly,Management,For,For,"ACTIVISION BLIZZARD, INC.","JUN 21, 2023",ATVI,00507V109,"APR 25, 2023",ANNUAL,False,,,AB Disruptors ETF,"AB Active ETFs, Inc.",0001496608,000000000,MD,0531,N-PX,1940 Act,811-23799,231224403,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,212-969-1000,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,"AllianceBernstein Active ETFs, Inc.",20100714,0000919574-23-005036,20230630,20230830,20230830,20230830,AB Ultra Short Income ETF,50,0001496608,S000076880,AB Ultra Short Income ETF,C000237019,AB Ultra Short Income ETF,YEAR
1e,Elect Director Robert Kotick,Management,For,For,"ACTIVISION BLIZZARD, INC.","JUN 21, 2023",ATVI,00507V109,"APR 25, 2023",ANNUAL,False,,,AB Disruptors ETF,"AB Active ETFs, Inc.",0001496608,000000000,MD,0531,N-PX,1940 Act,811-23799,231224403,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,212-969-1000,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,"AllianceBernstein Active ETFs, Inc.",20100714,0000919574-23-005036,20230630,20230830,20230830,20230830,AB Ultra Short Income ETF,50,0001496608,S000076880,AB Ultra Short Income ETF,C000237019,AB Ultra Short Income ETF,YEAR
1f,Elect Director Barry Meyer,Management,For,For,"ACTIVISION BLIZZARD, INC.","JUN 21, 2023",ATVI,00507V109,"APR 25, 2023",ANNUAL,False,,,AB Disruptors ETF,"AB Active ETFs, Inc.",0001496608,000000000,MD,0531,N-PX,1940 Act,811-23799,231224403,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,212-969-1000,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,"AllianceBernstein Active ETFs, Inc.",20100714,0000919574-23-005036,20230630,20230830,20230830,20230830,AB Ultra Short Income ETF,50,0001496608,S000076880,AB Ultra Short Income ETF,C000237019,AB Ultra Short Income ETF,YEAR
1g,Elect Director Robert Morgado,Management,For,For,"ACTIVISION BLIZZARD, INC.","JUN 21, 2023",ATVI,00507V109,"APR 25, 2023",ANNUAL,False,,,AB Disruptors ETF,"AB Active ETFs, Inc.",0001496608,000000000,MD,0531,N-PX,1940 Act,811-23799,231224403,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,212-969-1000,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,"AllianceBernstein Active ETFs, Inc.",20100714,0000919574-23-005036,20230630,20230830,20230830,20230830,AB Ultra Short Income ETF,50,0001496608,S000076880,AB Ultra Short Income ETF,C000237019,AB Ultra Short Income ETF,YEAR
1h,Elect Director Peter Nolan,Management,For,For,"ACTIVISION BLIZZARD, INC.","JUN 21, 2023",ATVI,00507V109,"APR 25, 2023",ANNUAL,False,,,AB Disruptors ETF,"AB Active ETFs, Inc.",0001496608,000000000,MD,0531,N-PX,1940 Act,811-23799,231224403,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,212-969-1000,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,"AllianceBernstein Active ETFs, Inc.",20100714,0000919574-23-005036,20230630,20230830,20230830,20230830,AB Ultra Short Income ETF,50,0001496608,S000076880,AB Ultra Short Income ETF,C000237019,AB Ultra Short Income ETF,YEAR
1i,Elect Director Dawn Ostroff,Management,For,For,"ACTIVISION BLIZZARD, INC.","JUN 21, 2023",ATVI,00507V109,"APR 25, 2023",ANNUAL,False,,,AB Disruptors ETF,"AB Active ETFs, Inc.",0001496608,000000000,MD,0531,N-PX,1940 Act,811-23799,231224403,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,212-969-1000,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,"AllianceBernstein Active ETFs, Inc.",20100714,0000919574-23-005036,20230630,20230830,20230830,20230830,AB Ultra Short Income ETF,50,0001496608,S000076880,AB Ultra Short Income ETF,C000237019,AB Ultra Short Income ETF,YEAR
2,Advisory Vote to Ratify Named Executive Officers' Compensation,Management,For,For,"ACTIVISION BLIZZARD, INC.","JUN 21, 2023",ATVI,00507V109,"APR 25, 2023",ANNUAL,False,,,AB Disruptors ETF,"AB Active ETFs, Inc.",0001496608,000000000,MD,0531,N-PX,1940 Act,811-23799,231224403,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,212-969-1000,C/O ALLIANCEBERNSTEIN L.P.,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,"AllianceBernstein Active ETFs, Inc.",20100714,0000919574-23-005036,20230630,20230830,20230830,20230830,AB Ultra Short Income ETF,50,0001496608,S000076880,AB Ultra Short Income ETF,C000237019,AB Ultra Short Income ETF,YEAR
