proposal_number,proposal,sponsor,rec,vote_cast,company_name,meeting_date,ticker,cusip,record_date,meeting_type,proxy_contest,fund_name,filer__company_data__company_conformed_name,filer__company_data__central_index_key,filer__company_data__irs_number,filer__company_data__state_of_incorporation,filer__filing_values__form_type,filer__filing_values__sec_act,filer__filing_values__sec_file_number,filer__filing_values__film_number,filer__business_address__street_1,filer__business_address__city,filer__business_address__state,filer__business_address__zip,accession__accession_number,accession__conformed_period_of_report,accession__filed_as_of_date,accession__date_as_of_change,accession__effectiveness_date
1,Open Meeting,Management,,,AGEAS SA/NV,"MAY 20, 2020",AGS,B0148L138,"MAY 06, 2020",ANNUAL/SPECIAL,False,06/30/2020 Nuveen Diversified Dividend and Income Fund,NUVEEN DIVERSIFIED DIVIDEND & INCOME FUND,0001255821,000000000,MA,N-PX,1940 Act,811-21407,201124580,333 WEST WACKER DRIVE,CHICAGO,IL,60606,0001193125-20-227512,20200630,20200824,20200824,20200824
2.1.1,Receive Directors' and Auditors' Reports (Non-Voting),Management,,,AGEAS SA/NV,"MAY 20, 2020",AGS,B0148L138,"MAY 06, 2020",ANNUAL/SPECIAL,False,06/30/2020 Nuveen Diversified Dividend and Income Fund,NUVEEN DIVERSIFIED DIVIDEND & INCOME FUND,0001255821,000000000,MA,N-PX,1940 Act,811-21407,201124580,333 WEST WACKER DRIVE,CHICAGO,IL,60606,0001193125-20-227512,20200630,20200824,20200824,20200824
2.1.2,Receive Consolidated Financial Statements and Statutory Reports (Non-Voting),Management,,,AGEAS SA/NV,"MAY 20, 2020",AGS,B0148L138,"MAY 06, 2020",ANNUAL/SPECIAL,False,06/30/2020 Nuveen Diversified Dividend and Income Fund,NUVEEN DIVERSIFIED DIVIDEND & INCOME FUND,0001255821,000000000,MA,N-PX,1940 Act,811-21407,201124580,333 WEST WACKER DRIVE,CHICAGO,IL,60606,0001193125-20-227512,20200630,20200824,20200824,20200824
2.1.3,Approve Financial Statements and Allocation of Income,Management,For,For,AGEAS SA/NV,"MAY 20, 2020",AGS,B0148L138,"MAY 06, 2020",ANNUAL/SPECIAL,False,06/30/2020 Nuveen Diversified Dividend and Income Fund,NUVEEN DIVERSIFIED DIVIDEND & INCOME FUND,0001255821,000000000,MA,N-PX,1940 Act,811-21407,201124580,333 WEST WACKER DRIVE,CHICAGO,IL,60606,0001193125-20-227512,20200630,20200824,20200824,20200824
2.2.1,Receive Information on Company's Dividend Policy,Management,,,AGEAS SA/NV,"MAY 20, 2020",AGS,B0148L138,"MAY 06, 2020",ANNUAL/SPECIAL,False,06/30/2020 Nuveen Diversified Dividend and Income Fund,NUVEEN DIVERSIFIED DIVIDEND & INCOME FUND,0001255821,000000000,MA,N-PX,1940 Act,811-21407,201124580,333 WEST WACKER DRIVE,CHICAGO,IL,60606,0001193125-20-227512,20200630,20200824,20200824,20200824
2.2.2,Approve Dividends of EUR 0.27 Per Share,Management,For,For,AGEAS SA/NV,"MAY 20, 2020",AGS,B0148L138,"MAY 06, 2020",ANNUAL/SPECIAL,False,06/30/2020 Nuveen Diversified Dividend and Income Fund,NUVEEN DIVERSIFIED DIVIDEND & INCOME FUND,0001255821,000000000,MA,N-PX,1940 Act,811-21407,201124580,333 WEST WACKER DRIVE,CHICAGO,IL,60606,0001193125-20-227512,20200630,20200824,20200824,20200824
2.3.1,Approve Discharge of Directors,Management,For,For,AGEAS SA/NV,"MAY 20, 2020",AGS,B0148L138,"MAY 06, 2020",ANNUAL/SPECIAL,False,06/30/2020 Nuveen Diversified Dividend and Income Fund,NUVEEN DIVERSIFIED DIVIDEND & INCOME FUND,0001255821,000000000,MA,N-PX,1940 Act,811-21407,201124580,333 WEST WACKER DRIVE,CHICAGO,IL,60606,0001193125-20-227512,20200630,20200824,20200824,20200824
2.3.2,Approve Discharge of Auditor,Management,For,For,AGEAS SA/NV,"MAY 20, 2020",AGS,B0148L138,"MAY 06, 2020",ANNUAL/SPECIAL,False,06/30/2020 Nuveen Diversified Dividend and Income Fund,NUVEEN DIVERSIFIED DIVIDEND & INCOME FUND,0001255821,000000000,MA,N-PX,1940 Act,811-21407,201124580,333 WEST WACKER DRIVE,CHICAGO,IL,60606,0001193125-20-227512,20200630,20200824,20200824,20200824
3.1,Approve Remuneration Report,Management,For,For,AGEAS SA/NV,"MAY 20, 2020",AGS,B0148L138,"MAY 06, 2020",ANNUAL/SPECIAL,False,06/30/2020 Nuveen Diversified Dividend and Income Fund,NUVEEN DIVERSIFIED DIVIDEND & INCOME FUND,0001255821,000000000,MA,N-PX,1940 Act,811-21407,201124580,333 WEST WACKER DRIVE,CHICAGO,IL,60606,0001193125-20-227512,20200630,20200824,20200824,20200824
3.2,Approve Remuneration Policy,Management,For,For,AGEAS SA/NV,"MAY 20, 2020",AGS,B0148L138,"MAY 06, 2020",ANNUAL/SPECIAL,False,06/30/2020 Nuveen Diversified Dividend and Income Fund,NUVEEN DIVERSIFIED DIVIDEND & INCOME FUND,0001255821,000000000,MA,N-PX,1940 Act,811-21407,201124580,333 WEST WACKER DRIVE,CHICAGO,IL,60606,0001193125-20-227512,20200630,20200824,20200824,20200824
