proposal_number,rec,vote_cast,sponsor,proxy_card,proxy_contest,proposal,company_name,ticker,cusip,meeting_type,meeting_date,record_date,fund_name,filer__company_data__company_conformed_name,filer__company_data__central_index_key,filer__company_data__irs_number,filer__company_data__state_of_incorporation,filer__filing_values__form_type,filer__filing_values__sec_act,filer__filing_values__sec_file_number,filer__filing_values__film_number,filer__business_address__street_1,filer__business_address__city,filer__business_address__state,filer__business_address__zip,filer__business_address__business_phone,filer__mail_address__street_1,filer__mail_address__city,filer__mail_address__state,filer__mail_address__zip,filer__former_company__former_conformed_name,filer__former_company__date_of_name_change,filer__former_company_1__former_conformed_name,filer__former_company_1__date_of_name_change,accession__accession_number,accession__conformed_period_of_report,accession__filed_as_of_date,accession__date_as_of_change,accession__effectiveness_date,metadata_fund_name,fund_name_match_score,owner_cik,series_id,series_name,class_contract_id,class_contract_name,class_contract_ticker_symbol
1.1a,For,Did Not Vote,Management,Management Proxy (Gold Card),True,Elect Director Eliyahu Ayalon,"DSP GROUP, INC.",DSPG,23332B106,Proxy Contest,"JUN 10, 2013","APR 16, 2013","BlackRock Global Small Cap Fund, Inc.","BLACKROCK GLOBAL SMALLCAP FUND, INC.",0000922457,223310365,MD,N-PX,1940 Act,811-07171,131064943,100 BELLEVUE PARKWAY,WILMINGTON,DE,19809,800-441-7762,100 BELLEVUE PARKWAY,WILMINGTON,DE,19809,MERRILL LYNCH GLOBAL SMALLCAP FUND INC,19941019,MERRILL LYNCH SMALLCAP WORLD FUND INC,19940429,0001193125-13-349699,20130630,20130828,20130828,20130828,"BLACKROCK GLOBAL SMALLCAP FUND, INC.",100,0000922457,S000002724,"BLACKROCK GLOBAL SMALLCAP FUND, INC.",C000007429,Investor A,
1.1a,For,Did Not Vote,Management,Management Proxy (Gold Card),True,Elect Director Eliyahu Ayalon,"DSP GROUP, INC.",DSPG,23332B106,Proxy Contest,"JUN 10, 2013","APR 16, 2013","BlackRock Global Small Cap Fund, Inc.","BLACKROCK GLOBAL SMALLCAP FUND, INC.",0000922457,223310365,MD,N-PX,1940 Act,811-07171,131064943,100 BELLEVUE PARKWAY,WILMINGTON,DE,19809,800-441-7762,100 BELLEVUE PARKWAY,WILMINGTON,DE,19809,MERRILL LYNCH GLOBAL SMALLCAP FUND INC,19941019,MERRILL LYNCH SMALLCAP WORLD FUND INC,19940429,0001193125-13-349699,20130630,20130828,20130828,20130828,"BLACKROCK GLOBAL SMALLCAP FUND, INC.",100,0000922457,S000002724,"BLACKROCK GLOBAL SMALLCAP FUND, INC.",C000007430,Investor B,
1.1a,For,Did Not Vote,Management,Management Proxy (Gold Card),True,Elect Director Eliyahu Ayalon,"DSP GROUP, INC.",DSPG,23332B106,Proxy Contest,"JUN 10, 2013","APR 16, 2013","BlackRock Global Small Cap Fund, Inc.","BLACKROCK GLOBAL SMALLCAP FUND, INC.",0000922457,223310365,MD,N-PX,1940 Act,811-07171,131064943,100 BELLEVUE PARKWAY,WILMINGTON,DE,19809,800-441-7762,100 BELLEVUE PARKWAY,WILMINGTON,DE,19809,MERRILL LYNCH GLOBAL SMALLCAP FUND INC,19941019,MERRILL LYNCH SMALLCAP WORLD FUND INC,19940429,0001193125-13-349699,20130630,20130828,20130828,20130828,"BLACKROCK GLOBAL SMALLCAP FUND, INC.",100,0000922457,S000002724,"BLACKROCK GLOBAL SMALLCAP FUND, INC.",C000007431,Investor C,
1.1a,For,Did Not Vote,Management,Management Proxy (Gold Card),True,Elect Director Eliyahu Ayalon,"DSP GROUP, INC.",DSPG,23332B106,Proxy Contest,"JUN 10, 2013","APR 16, 2013","BlackRock Global Small Cap Fund, Inc.","BLACKROCK GLOBAL SMALLCAP FUND, INC.",0000922457,223310365,MD,N-PX,1940 Act,811-07171,131064943,100 BELLEVUE PARKWAY,WILMINGTON,DE,19809,800-441-7762,100 BELLEVUE PARKWAY,WILMINGTON,DE,19809,MERRILL LYNCH GLOBAL SMALLCAP FUND INC,19941019,MERRILL LYNCH SMALLCAP WORLD FUND INC,19940429,0001193125-13-349699,20130630,20130828,20130828,20130828,"BLACKROCK GLOBAL SMALLCAP FUND, INC.",100,0000922457,S000002724,"BLACKROCK GLOBAL SMALLCAP FUND, INC.",C000007432,Institutional,
1.1a,For,Did Not Vote,Management,Management Proxy (Gold Card),True,Elect Director Eliyahu Ayalon,"DSP GROUP, INC.",DSPG,23332B106,Proxy Contest,"JUN 10, 2013","APR 16, 2013","BlackRock Global Small Cap Fund, Inc.","BLACKROCK GLOBAL SMALLCAP FUND, INC.",0000922457,223310365,MD,N-PX,1940 Act,811-07171,131064943,100 BELLEVUE PARKWAY,WILMINGTON,DE,19809,800-441-7762,100 BELLEVUE PARKWAY,WILMINGTON,DE,19809,MERRILL LYNCH GLOBAL SMALLCAP FUND INC,19941019,MERRILL LYNCH SMALLCAP WORLD FUND INC,19940429,0001193125-13-349699,20130630,20130828,20130828,20130828,"BLACKROCK GLOBAL SMALLCAP FUND, INC.",100,0000922457,S000002724,"BLACKROCK GLOBAL SMALLCAP FUND, INC.",C000007433,Class R,
1.2a,For,Did Not Vote,Management,Management Proxy (Gold Card),True,Elect Director Zvi Limon,"DSP GROUP, INC.",DSPG,23332B106,Proxy Contest,"JUN 10, 2013","APR 16, 2013","BlackRock Global Small Cap Fund, Inc.","BLACKROCK GLOBAL SMALLCAP FUND, INC.",0000922457,223310365,MD,N-PX,1940 Act,811-07171,131064943,100 BELLEVUE PARKWAY,WILMINGTON,DE,19809,800-441-7762,100 BELLEVUE PARKWAY,WILMINGTON,DE,19809,MERRILL LYNCH GLOBAL SMALLCAP FUND INC,19941019,MERRILL LYNCH SMALLCAP WORLD FUND INC,19940429,0001193125-13-349699,20130630,20130828,20130828,20130828,"BLACKROCK GLOBAL SMALLCAP FUND, INC.",100,0000922457,S000002724,"BLACKROCK GLOBAL SMALLCAP FUND, INC.",C000007429,Investor A,
1.2a,For,Did Not Vote,Management,Management Proxy (Gold Card),True,Elect Director Zvi Limon,"DSP GROUP, INC.",DSPG,23332B106,Proxy Contest,"JUN 10, 2013","APR 16, 2013","BlackRock Global Small Cap Fund, Inc.","BLACKROCK GLOBAL SMALLCAP FUND, INC.",0000922457,223310365,MD,N-PX,1940 Act,811-07171,131064943,100 BELLEVUE PARKWAY,WILMINGTON,DE,19809,800-441-7762,100 BELLEVUE PARKWAY,WILMINGTON,DE,19809,MERRILL LYNCH GLOBAL SMALLCAP FUND INC,19941019,MERRILL LYNCH SMALLCAP WORLD FUND INC,19940429,0001193125-13-349699,20130630,20130828,20130828,20130828,"BLACKROCK GLOBAL SMALLCAP FUND, INC.",100,0000922457,S000002724,"BLACKROCK GLOBAL SMALLCAP FUND, INC.",C000007430,Investor B,
1.2a,For,Did Not Vote,Management,Management Proxy (Gold Card),True,Elect Director Zvi Limon,"DSP GROUP, INC.",DSPG,23332B106,Proxy Contest,"JUN 10, 2013","APR 16, 2013","BlackRock Global Small Cap Fund, Inc.","BLACKROCK GLOBAL SMALLCAP FUND, INC.",0000922457,223310365,MD,N-PX,1940 Act,811-07171,131064943,100 BELLEVUE PARKWAY,WILMINGTON,DE,19809,800-441-7762,100 BELLEVUE PARKWAY,WILMINGTON,DE,19809,MERRILL LYNCH GLOBAL SMALLCAP FUND INC,19941019,MERRILL LYNCH SMALLCAP WORLD FUND INC,19940429,0001193125-13-349699,20130630,20130828,20130828,20130828,"BLACKROCK GLOBAL SMALLCAP FUND, INC.",100,0000922457,S000002724,"BLACKROCK GLOBAL SMALLCAP FUND, INC.",C000007431,Investor C,
1.2a,For,Did Not Vote,Management,Management Proxy (Gold Card),True,Elect Director Zvi Limon,"DSP GROUP, INC.",DSPG,23332B106,Proxy Contest,"JUN 10, 2013","APR 16, 2013","BlackRock Global Small Cap Fund, Inc.","BLACKROCK GLOBAL SMALLCAP FUND, INC.",0000922457,223310365,MD,N-PX,1940 Act,811-07171,131064943,100 BELLEVUE PARKWAY,WILMINGTON,DE,19809,800-441-7762,100 BELLEVUE PARKWAY,WILMINGTON,DE,19809,MERRILL LYNCH GLOBAL SMALLCAP FUND INC,19941019,MERRILL LYNCH SMALLCAP WORLD FUND INC,19940429,0001193125-13-349699,20130630,20130828,20130828,20130828,"BLACKROCK GLOBAL SMALLCAP FUND, INC.",100,0000922457,S000002724,"BLACKROCK GLOBAL SMALLCAP FUND, INC.",C000007432,Institutional,
1.2a,For,Did Not Vote,Management,Management Proxy (Gold Card),True,Elect Director Zvi Limon,"DSP GROUP, INC.",DSPG,23332B106,Proxy Contest,"JUN 10, 2013","APR 16, 2013","BlackRock Global Small Cap Fund, Inc.","BLACKROCK GLOBAL SMALLCAP FUND, INC.",0000922457,223310365,MD,N-PX,1940 Act,811-07171,131064943,100 BELLEVUE PARKWAY,WILMINGTON,DE,19809,800-441-7762,100 BELLEVUE PARKWAY,WILMINGTON,DE,19809,MERRILL LYNCH GLOBAL SMALLCAP FUND INC,19941019,MERRILL LYNCH SMALLCAP WORLD FUND INC,19940429,0001193125-13-349699,20130630,20130828,20130828,20130828,"BLACKROCK GLOBAL SMALLCAP FUND, INC.",100,0000922457,S000002724,"BLACKROCK GLOBAL SMALLCAP FUND, INC.",C000007433,Class R,
