fund_name,proposal_number,rec,vote_cast,sponsor,proxy_card,proxy_contest,proposal,company_name,ticker,cusip,meeting_type,meeting_date,record_date,filer__company_data__company_conformed_name,filer__company_data__central_index_key,filer__company_data__irs_number,filer__company_data__state_of_incorporation,filer__filing_values__form_type,filer__filing_values__sec_act,filer__filing_values__sec_file_number,filer__filing_values__film_number,filer__business_address__street_1,filer__business_address__city,filer__business_address__state,filer__business_address__zip,filer__business_address__business_phone,filer__mail_address__street_1,filer__mail_address__city,filer__mail_address__state,filer__mail_address__zip,filer__former_company__former_conformed_name,filer__former_company__date_of_name_change,filer__former_company_1__former_conformed_name,filer__former_company_1__date_of_name_change,accession__accession_number,accession__conformed_period_of_report,accession__filed_as_of_date,accession__date_as_of_change,accession__effectiveness_date,metadata_fund_name,fund_name_match_score,owner_cik,series_id,series_name,class_contract_id,class_contract_name,class_contract_ticker_symbol
SPDR Bloomberg Convertible Securities ETF,1.1,For,For,Management,,False,Elect Director Theodore P. Janulis,"GANNETT CO., INC.",GCI,36472T109,Annual,"JUN 05, 2023","APR 13, 2023",SPDR SERIES TRUST,0001064642,000000000,MA,N-PX,1940 Act,811-08839,231208715,ONE LINCOLN STREET,BOSTON,MA,02111,617-664-1465,ONE LINCOLN STREET,BOSTON,MA,02111,STREETTRACKS SERIES TRUST,20000925,INDEX EXCHANGE LISTED SECURITIES TRUST,19980622,0001193125-23-221538,20230630,20230825,20230825,20230825,SPDR(R) Bloomberg Convertible Securities ETF,99,0001064642,S000022925,SPDR(R) Bloomberg Convertible Securities ETF,C000066456,SPDR(R) Bloomberg Convertible Securities ETF,CWB
SPDR Bloomberg Convertible Securities ETF,1.2,For,For,Management,,False,"Elect Director John Jeffry Louis, III","GANNETT CO., INC.",GCI,36472T109,Annual,"JUN 05, 2023","APR 13, 2023",SPDR SERIES TRUST,0001064642,000000000,MA,N-PX,1940 Act,811-08839,231208715,ONE LINCOLN STREET,BOSTON,MA,02111,617-664-1465,ONE LINCOLN STREET,BOSTON,MA,02111,STREETTRACKS SERIES TRUST,20000925,INDEX EXCHANGE LISTED SECURITIES TRUST,19980622,0001193125-23-221538,20230630,20230825,20230825,20230825,SPDR(R) Bloomberg Convertible Securities ETF,99,0001064642,S000022925,SPDR(R) Bloomberg Convertible Securities ETF,C000066456,SPDR(R) Bloomberg Convertible Securities ETF,CWB
SPDR Bloomberg Convertible Securities ETF,1.3,For,For,Management,,False,Elect Director Maria M. Miller,"GANNETT CO., INC.",GCI,36472T109,Annual,"JUN 05, 2023","APR 13, 2023",SPDR SERIES TRUST,0001064642,000000000,MA,N-PX,1940 Act,811-08839,231208715,ONE LINCOLN STREET,BOSTON,MA,02111,617-664-1465,ONE LINCOLN STREET,BOSTON,MA,02111,STREETTRACKS SERIES TRUST,20000925,INDEX EXCHANGE LISTED SECURITIES TRUST,19980622,0001193125-23-221538,20230630,20230825,20230825,20230825,SPDR(R) Bloomberg Convertible Securities ETF,99,0001064642,S000022925,SPDR(R) Bloomberg Convertible Securities ETF,C000066456,SPDR(R) Bloomberg Convertible Securities ETF,CWB
SPDR Bloomberg Convertible Securities ETF,1.4,For,For,Management,,False,Elect Director Michael E. Reed,"GANNETT CO., INC.",GCI,36472T109,Annual,"JUN 05, 2023","APR 13, 2023",SPDR SERIES TRUST,0001064642,000000000,MA,N-PX,1940 Act,811-08839,231208715,ONE LINCOLN STREET,BOSTON,MA,02111,617-664-1465,ONE LINCOLN STREET,BOSTON,MA,02111,STREETTRACKS SERIES TRUST,20000925,INDEX EXCHANGE LISTED SECURITIES TRUST,19980622,0001193125-23-221538,20230630,20230825,20230825,20230825,SPDR(R) Bloomberg Convertible Securities ETF,99,0001064642,S000022925,SPDR(R) Bloomberg Convertible Securities ETF,C000066456,SPDR(R) Bloomberg Convertible Securities ETF,CWB
SPDR Bloomberg Convertible Securities ETF,1.5,For,For,Management,,False,Elect Director Amy Reinhard,"GANNETT CO., INC.",GCI,36472T109,Annual,"JUN 05, 2023","APR 13, 2023",SPDR SERIES TRUST,0001064642,000000000,MA,N-PX,1940 Act,811-08839,231208715,ONE LINCOLN STREET,BOSTON,MA,02111,617-664-1465,ONE LINCOLN STREET,BOSTON,MA,02111,STREETTRACKS SERIES TRUST,20000925,INDEX EXCHANGE LISTED SECURITIES TRUST,19980622,0001193125-23-221538,20230630,20230825,20230825,20230825,SPDR(R) Bloomberg Convertible Securities ETF,99,0001064642,S000022925,SPDR(R) Bloomberg Convertible Securities ETF,C000066456,SPDR(R) Bloomberg Convertible Securities ETF,CWB
SPDR Bloomberg Convertible Securities ETF,1.6,For,For,Management,,False,Elect Director Debra A. Sandler,"GANNETT CO., INC.",GCI,36472T109,Annual,"JUN 05, 2023","APR 13, 2023",SPDR SERIES TRUST,0001064642,000000000,MA,N-PX,1940 Act,811-08839,231208715,ONE LINCOLN STREET,BOSTON,MA,02111,617-664-1465,ONE LINCOLN STREET,BOSTON,MA,02111,STREETTRACKS SERIES TRUST,20000925,INDEX EXCHANGE LISTED SECURITIES TRUST,19980622,0001193125-23-221538,20230630,20230825,20230825,20230825,SPDR(R) Bloomberg Convertible Securities ETF,99,0001064642,S000022925,SPDR(R) Bloomberg Convertible Securities ETF,C000066456,SPDR(R) Bloomberg Convertible Securities ETF,CWB
SPDR Bloomberg Convertible Securities ETF,1.7,For,For,Management,,False,Elect Director Kevin M. Sheehan,"GANNETT CO., INC.",GCI,36472T109,Annual,"JUN 05, 2023","APR 13, 2023",SPDR SERIES TRUST,0001064642,000000000,MA,N-PX,1940 Act,811-08839,231208715,ONE LINCOLN STREET,BOSTON,MA,02111,617-664-1465,ONE LINCOLN STREET,BOSTON,MA,02111,STREETTRACKS SERIES TRUST,20000925,INDEX EXCHANGE LISTED SECURITIES TRUST,19980622,0001193125-23-221538,20230630,20230825,20230825,20230825,SPDR(R) Bloomberg Convertible Securities ETF,99,0001064642,S000022925,SPDR(R) Bloomberg Convertible Securities ETF,C000066456,SPDR(R) Bloomberg Convertible Securities ETF,CWB
SPDR Bloomberg Convertible Securities ETF,1.8,For,For,Management,,False,Elect Director Laurence Tarica,"GANNETT CO., INC.",GCI,36472T109,Annual,"JUN 05, 2023","APR 13, 2023",SPDR SERIES TRUST,0001064642,000000000,MA,N-PX,1940 Act,811-08839,231208715,ONE LINCOLN STREET,BOSTON,MA,02111,617-664-1465,ONE LINCOLN STREET,BOSTON,MA,02111,STREETTRACKS SERIES TRUST,20000925,INDEX EXCHANGE LISTED SECURITIES TRUST,19980622,0001193125-23-221538,20230630,20230825,20230825,20230825,SPDR(R) Bloomberg Convertible Securities ETF,99,0001064642,S000022925,SPDR(R) Bloomberg Convertible Securities ETF,C000066456,SPDR(R) Bloomberg Convertible Securities ETF,CWB
SPDR Bloomberg Convertible Securities ETF,1.9,For,For,Management,,False,Elect Director Barbara W. Wall,"GANNETT CO., INC.",GCI,36472T109,Annual,"JUN 05, 2023","APR 13, 2023",SPDR SERIES TRUST,0001064642,000000000,MA,N-PX,1940 Act,811-08839,231208715,ONE LINCOLN STREET,BOSTON,MA,02111,617-664-1465,ONE LINCOLN STREET,BOSTON,MA,02111,STREETTRACKS SERIES TRUST,20000925,INDEX EXCHANGE LISTED SECURITIES TRUST,19980622,0001193125-23-221538,20230630,20230825,20230825,20230825,SPDR(R) Bloomberg Convertible Securities ETF,99,0001064642,S000022925,SPDR(R) Bloomberg Convertible Securities ETF,C000066456,SPDR(R) Bloomberg Convertible Securities ETF,CWB
SPDR Bloomberg Convertible Securities ETF,2,For,For,Management,,False,Ratify Grant Thornton LLP as Auditors,"GANNETT CO., INC.",GCI,36472T109,Annual,"JUN 05, 2023","APR 13, 2023",SPDR SERIES TRUST,0001064642,000000000,MA,N-PX,1940 Act,811-08839,231208715,ONE LINCOLN STREET,BOSTON,MA,02111,617-664-1465,ONE LINCOLN STREET,BOSTON,MA,02111,STREETTRACKS SERIES TRUST,20000925,INDEX EXCHANGE LISTED SECURITIES TRUST,19980622,0001193125-23-221538,20230630,20230825,20230825,20230825,SPDR(R) Bloomberg Convertible Securities ETF,99,0001064642,S000022925,SPDR(R) Bloomberg Convertible Securities ETF,C000066456,SPDR(R) Bloomberg Convertible Securities ETF,CWB
SPDR Bloomberg Convertible Securities ETF,3,For,For,Management,,False,Advisory Vote to Ratify Named Executive Officers' Compensation,"GANNETT CO., INC.",GCI,36472T109,Annual,"JUN 05, 2023","APR 13, 2023",SPDR SERIES TRUST,0001064642,000000000,MA,N-PX,1940 Act,811-08839,231208715,ONE LINCOLN STREET,BOSTON,MA,02111,617-664-1465,ONE LINCOLN STREET,BOSTON,MA,02111,STREETTRACKS SERIES TRUST,20000925,INDEX EXCHANGE LISTED SECURITIES TRUST,19980622,0001193125-23-221538,20230630,20230825,20230825,20230825,SPDR(R) Bloomberg Convertible Securities ETF,99,0001064642,S000022925,SPDR(R) Bloomberg Convertible Securities ETF,C000066456,SPDR(R) Bloomberg Convertible Securities ETF,CWB
